"No.","Time","Source","Destination","Protocol","Length","Info"
"3945","2.756085","128.135.24.73","10.190.102.251","TCP","56","443  >  59655 [ACK] Seq=3798244 Ack=282935 Win=579712 Len=0"
"3946","2.756087","128.135.24.73","10.190.102.251","TCP","56","443  >  59655 [ACK] Seq=3798244 Ack=284907 Win=585088 Len=0"
"3947","2.757549","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3798244 Ack=284907 Win=585088 Len=1200 [TCP PDU reassembled in 3959]"
"3948","2.757551","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3799444 Ack=284907 Win=585088 Len=1200 [TCP PDU reassembled in 3959]"
"3949","2.757553","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3800644 Ack=284907 Win=585088 Len=1200 [TCP PDU reassembled in 3959]"
"3950","2.757688","10.190.102.251","128.135.24.73","TCP","54","59655  >  443 [ACK] Seq=297758 Ack=3801844 Win=4194240 Len=0"
"3951","2.758732","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3801844 Ack=284907 Win=585088 Len=1200 [TCP PDU reassembled in 3959]"
"3952","2.758735","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3803044 Ack=284907 Win=585088 Len=1200 [TCP PDU reassembled in 3959]"
"3953","2.758737","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3804244 Ack=284907 Win=585088 Len=1200 [TCP PDU reassembled in 3959]"
"3954","2.758738","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3805444 Ack=284907 Win=585088 Len=1200 [TCP PDU reassembled in 3959]"
"3955","2.758740","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3806644 Ack=284907 Win=585088 Len=1200 [TCP PDU reassembled in 3959]"
"3956","2.758745","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3807844 Ack=284907 Win=585088 Len=1200 [TCP PDU reassembled in 3959]"
"3957","2.758747","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3809044 Ack=284907 Win=585088 Len=1200 [TCP PDU reassembled in 3959]"
"3958","2.758748","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3810244 Ack=284907 Win=585088 Len=1200 [TCP PDU reassembled in 3959]"
"3959","2.758749","128.135.24.73","10.190.102.251","TLSv1.2","831","Application Data"
"3960","2.758751","128.135.24.73","10.190.102.251","TCP","56","443  >  59655 [ACK] Seq=3812221 Ack=287307 Win=590848 Len=0"
"3961","2.758752","128.135.24.73","10.190.102.251","TCP","56","443  >  59655 [ACK] Seq=3812221 Ack=289295 Win=596224 Len=0"
"3962","2.758753","128.135.24.73","10.190.102.251","TCP","56","443  >  59655 [ACK] Seq=3812221 Ack=291288 Win=601472 Len=0"
"3963","2.758754","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3812221 Ack=291288 Win=601472 Len=1200 [TCP PDU reassembled in 3964]"
"3964","2.758755","128.135.24.73","10.190.102.251","TLSv1.2","787","Application Data"
"3965","2.758882","10.190.102.251","128.135.24.73","TCP","54","59655  >  443 [ACK] Seq=297758 Ack=3814154 Win=4194240 Len=0"
"3966","2.760621","128.135.24.73","10.190.102.251","TCP","56","443  >  59655 [ACK] Seq=3814154 Ack=293688 Win=607360 Len=0"
"3967","2.760623","128.135.24.73","10.190.102.251","TCP","56","443  >  59655 [ACK] Seq=3814154 Ack=295681 Win=612736 Len=0"
"3968","2.760624","128.135.24.73","10.190.102.251","TCP","56","443  >  59655 [ACK] Seq=3814154 Ack=297758 Win=617984 Len=0"
"3969","2.760625","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3814154 Ack=297758 Win=617984 Len=1200 [TCP PDU reassembled in 3978]"
"3970","2.760626","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3815354 Ack=297758 Win=617984 Len=1200 [TCP PDU reassembled in 3978]"
"3971","2.760628","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3816554 Ack=297758 Win=617984 Len=1200 [TCP PDU reassembled in 3978]"
"3972","2.760629","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3817754 Ack=297758 Win=617984 Len=1200 [TCP PDU reassembled in 3978]"
